epoch,episodes,wins,draws,losses,win_rate,avg_reward,avg_steps,learner_rating,num_players
175,50,28,0,22,0.560000,0.140000,79.640000,2374.187341,36
176,50,36,0,14,0.720000,0.720000,76.400000,2489.962928,37
177,50,31,0,19,0.620000,0.420000,72.000000,2424.225313,37
178,50,30,0,20,0.600000,0.400000,67.260000,2349.368815,37
179,50,28,0,22,0.560000,0.340000,77.840000,2339.486454,37
180,50,39,0,11,0.780000,1.060000,80.200000,2528.247280,37
181,50,39,0,11,0.780000,0.960000,81.840000,2583.182984,38
182,50,32,0,18,0.640000,0.440000,80.480000,2445.736972,38
183,50,35,0,15,0.700000,0.720000,79.520000,2459.639514,38
184,50,32,0,18,0.640000,0.560000,81.300000,2465.675843,38
185,50,34,0,16,0.680000,0.580000,90.620000,2536.712441,38
186,50,33,0,17,0.660000,0.440000,75.820000,2504.162897,39
187,50,35,0,15,0.700000,0.500000,82.520000,2535.367568,39
188,50,26,0,24,0.520000,0.280000,82.320000,2386.955960,39
189,50,39,0,11,0.780000,1.180000,76.740000,2533.018540,39
190,50,33,0,17,0.660000,0.760000,79.680000,2508.712074,39
191,50,30,0,20,0.600000,0.480000,96.060000,2467.406563,40
192,50,36,0,14,0.720000,1.000000,82.320000,2521.119785,40
193,50,37,0,13,0.740000,0.800000,88.580000,2553.479415,40
194,50,34,0,16,0.680000,0.920000,87.800000,2471.388936,40
195,50,35,0,15,0.700000,0.880000,85.960000,2486.209139,40
196,50,35,0,15,0.700000,0.780000,96.860000,2523.897737,41
197,50,34,0,16,0.680000,0.540000,96.300000,2530.384787,41
198,50,37,0,13,0.740000,0.880000,102.060000,2564.251402,41
199,50,37,0,13,0.740000,0.880000,87.020000,2571.732787,41
200,50,37,0,13,0.740000,0.820000,94.880000,2566.901604,41
201,50,38,0,12,0.760000,0.900000,92.660000,2592.820611,42
202,50,35,0,15,0.700000,0.680000,87.540000,2527.716516,42
203,50,35,0,15,0.700000,0.620000,93.740000,2520.112987,42
204,50,38,0,12,0.760000,1.040000,96.160000,2637.113534,42
205,50,32,0,18,0.640000,0.540000,92.460000,2498.146591,42
206,50,37,0,13,0.740000,0.920000,95.980000,2558.937034,43
207,50,40,0,10,0.800000,0.940000,103.400000,2647.617233,43
208,50,39,0,11,0.780000,0.940000,93.260000,2672.914074,43
209,50,40,0,10,0.800000,0.960000,90.480000,2618.026407,43
210,50,38,0,12,0.760000,0.980000,99.140000,2619.017596,43
211,50,36,0,14,0.720000,0.860000,88.400000,2623.304798,44
212,50,34,0,16,0.680000,0.480000,97.900000,2566.471320,44
213,50,36,0,14,0.720000,0.780000,104.880000,2593.308081,44
214,50,32,0,18,0.640000,0.540000,99.720000,2503.296523,44
