epoch,episodes,wins,draws,losses,win_rate,avg_alive_diff,avg_steps,steps_p50,steps_p90,steps_max,learner_rating,num_players,early_my_alive_avg,early_opp_alive_avg,early_alive_drop_ratio,early_avg_power
95,50,30,0,20,0.600000,0.640000,52.460000,49.000000,95.099998,121.000000,2142.195827,20,2.993333,2.960000,0.000000,526.666667
96,50,32,0,18,0.640000,0.520000,57.180000,57.000000,88.000000,116.000000,2209.661460,21,3.000000,2.966667,0.000000,513.333333
97,50,36,0,14,0.720000,0.840000,57.080000,54.500000,84.399994,114.000000,2239.789280,21,3.000000,2.966667,0.000000,500.000000
98,50,36,0,14,0.720000,0.860000,60.980000,58.000000,99.199997,125.000000,2252.533491,21,3.000000,2.973333,0.000000,513.333333
99,50,33,0,17,0.660000,0.620000,55.620000,48.000000,81.899971,141.000000,2222.657015,21,2.966667,2.973333,0.000000,540.000000
100,50,36,0,14,0.720000,0.880000,58.500000,56.000000,90.199997,138.000000,2233.100938,21,2.993333,2.926667,0.000000,526.666667
101,50,34,0,16,0.680000,0.720000,61.640000,55.500000,104.399994,128.000000,2223.921988,22,2.980000,2.993333,0.000000,513.333333
102,50,30,0,20,0.600000,0.480000,60.700000,55.000000,96.399994,155.000000,2203.828645,22,2.993333,2.953333,0.000000,526.666667
103,50,34,0,16,0.680000,0.580000,63.100000,65.500000,90.899986,120.000000,2247.793283,22,2.980000,2.913333,0.000000,506.666667
104,50,31,0,19,0.620000,0.760000,57.980000,55.000000,88.299995,108.000000,2147.804678,22,2.993333,2.953333,0.000000,520.000000
105,50,35,0,15,0.700000,0.800000,58.680000,59.000000,90.199997,110.000000,2236.961976,22,2.986667,2.946667,0.000000,513.333333
106,50,31,0,19,0.620000,0.600000,63.840000,60.000000,104.499992,129.000000,2206.702130,23,2.993333,2.940000,0.000000,513.333333
107,50,33,0,17,0.660000,0.600000,62.680000,61.000000,97.199997,125.000000,2214.176568,23,2.993333,2.920000,0.000000,506.666667
108,50,36,0,14,0.720000,1.140000,57.800000,56.500000,88.299995,164.000000,2237.230902,23,2.973333,2.960000,0.000000,520.000000
109,50,37,0,13,0.740000,1.000000,62.780000,61.000000,100.299995,121.000000,2343.122200,23,3.000000,3.000000,0.000000,513.333333
110,50,39,0,11,0.780000,1.080000,60.800000,56.000000,103.299995,134.000000,2389.661091,23,3.000000,2.953333,0.000000,500.000000
111,50,27,0,23,0.540000,0.400000,61.400000,59.000000,86.399994,172.000000,2186.354428,24,2.986667,2.920000,0.000000,546.666667
112,50,40,0,10,0.800000,1.240000,65.180000,61.000000,104.000000,123.000000,2381.833678,24,2.993333,2.986667,0.000000,513.333333
