epoch,num_samples,policy_loss,value_loss,entropy_mean,entropy_std,approx_kl,clip_frac,top1_prob_mean,top5_prob_mean,top20_prob_mean,top50_prob_mean,grad_norm_mean,lr,power0_ratio,power1_ratio,power2_ratio,stone0_ratio,stone1_ratio,stone2_ratio
51,709,-0.031372,0.777308,3.308500,0.047817,0.011868,0.237674,0.203094,0.484744,0.824011,0.966629,3.258955,0.00010000,0.919605,0.050776,0.029619,0.416079,0.337095,0.246827
52,750,-0.021306,0.681598,3.319388,0.030571,0.011885,0.201370,0.197469,0.462268,0.829721,0.967624,2.851000,0.00010000,0.944000,0.034667,0.021333,0.424000,0.298667,0.277333
53,754,-0.010573,0.657767,3.325389,0.039842,0.010434,0.191128,0.184946,0.463105,0.831835,0.969305,3.064804,0.00010000,0.932361,0.051724,0.015915,0.404509,0.339523,0.255968
54,675,-0.021246,0.649503,3.356555,0.018675,0.015681,0.300027,0.149820,0.461059,0.827082,0.969112,2.869311,0.00010000,0.967407,0.022222,0.010370,0.401481,0.297778,0.300741
55,730,-0.009072,0.715289,3.331557,0.028911,0.009922,0.192208,0.155003,0.451475,0.835164,0.973906,3.172839,0.00010000,0.949315,0.043836,0.006849,0.409589,0.349315,0.241096
56,894,-0.015428,0.665051,3.330819,0.034448,0.012298,0.190872,0.160737,0.438558,0.839358,0.976546,3.196339,0.00010000,0.949664,0.022371,0.027964,0.374720,0.380313,0.244966
57,797,-0.022078,0.573823,3.309948,0.018542,0.014061,0.251506,0.148447,0.445105,0.845737,0.978727,3.462590,0.00010000,0.953576,0.031368,0.015056,0.391468,0.342535,0.265997
58,787,-0.024423,0.719492,3.290346,0.045128,0.011540,0.220563,0.149993,0.457554,0.852564,0.978314,3.210947,0.00010000,0.961881,0.029225,0.008895,0.351969,0.419314,0.228717
59,761,-0.014038,0.685568,3.379795,0.027955,0.011545,0.212262,0.134254,0.419167,0.838105,0.973001,3.135286,0.00010000,0.957950,0.031537,0.010512,0.390276,0.369251,0.240473
60,943,-0.011488,0.587906,3.366572,0.024438,0.011563,0.198678,0.137284,0.422368,0.841141,0.974299,3.066879,0.00010000,0.949099,0.029692,0.021209,0.355249,0.393425,0.251326
